Dataset,Threshold,Accuracy,Precision,Recall,F1 Score,F2 Score,Classification Report,Confusion Matrix,True Positive Category Counts
../data/labeled_data_small_2025.csv,0.52,0.7566666666666667,0.7846089399241042,0.7566666666666667,0.7505439054117164,0.7497934109239662,"               precision    recall  f1-score   support

    Offensive       0.70      0.91      0.79       150
Non-Offensive       0.87      0.60      0.71       150

     accuracy                           0.76       300
    macro avg       0.78      0.76      0.75       300
 weighted avg       0.78      0.76      0.75       300
","[[137  13]
 [ 60  90]]",TOXICITY: 130; SPAM: 3; PROFANITY: 4
../data/labeled_data_small_2025.csv,0.54,0.7666666666666667,0.7893518518518519,0.7666666666666667,0.762001903984768,0.7612138332477315,"               precision    recall  f1-score   support

    Offensive       0.71      0.91      0.80       150
Non-Offensive       0.87      0.63      0.73       150

     accuracy                           0.77       300
    macro avg       0.79      0.77      0.76       300
 weighted avg       0.79      0.77      0.76       300
","[[136  14]
 [ 56  94]]",TOXICITY: 126; SPAM: 4; PROFANITY: 6
../data/labeled_data_small_2025.csv,0.56,0.77,0.7874923098764849,0.77,0.7664474055353093,0.7657792921795445,"               precision    recall  f1-score   support

    Offensive       0.72      0.89      0.80       150
Non-Offensive       0.86      0.65      0.74       150

     accuracy                           0.77       300
    macro avg       0.79      0.77      0.77       300
 weighted avg       0.79      0.77      0.77       300
","[[134  16]
 [ 53  97]]",TOXICITY: 121; SPAM: 6; PROFANITY: 7
../data/labeled_data_small_2025.csv,0.58,0.77,0.7874923098764849,0.77,0.7664474055353093,0.7657792921795445,"               precision    recall  f1-score   support

    Offensive       0.72      0.89      0.80       150
Non-Offensive       0.86      0.65      0.74       150

     accuracy                           0.77       300
    macro avg       0.79      0.77      0.77       300
 weighted avg       0.79      0.77      0.77       300
","[[134  16]
 [ 53  97]]",TOXICITY: 120; SPAM: 6; PROFANITY: 8
../data/labeled_data_small_2025.csv,0.61,0.7866666666666666,0.79296875,0.7866666666666666,0.7855132043433577,0.7851911689346923,"               precision    recall  f1-score   support

    Offensive       0.75      0.86      0.80       150
Non-Offensive       0.84      0.71      0.77       150

     accuracy                           0.79       300
    macro avg       0.79      0.79      0.79       300
 weighted avg       0.79      0.79      0.79       300
","[[129  21]
 [ 43 107]]",TOXICITY: 114; SPAM: 7; INSULT: 2; PROFANITY: 6
../data/labeled_data_small_6556.csv,0.5,0.68,0.7200608563355791,0.68,0.6647420376233936,0.6666499523642381,"               precision    recall  f1-score   support

    Offensive       0.63      0.89      0.74       150
Non-Offensive       0.81      0.47      0.59       150

     accuracy                           0.68       300
    macro avg       0.72      0.68      0.66       300
 weighted avg       0.72      0.68      0.66       300
","[[134  16]
 [ 80  70]]",INSULT: 1; TOXICITY: 124; SPAM: 7; PROFANITY: 2
../data/labeled_data_small_6556.csv,0.52,0.6933333333333334,0.7246436686634993,0.6933333333333334,0.6822619266899982,0.6832044965353509,"               precision    recall  f1-score   support

    Offensive       0.64      0.88      0.74       150
Non-Offensive       0.81      0.51      0.62       150

     accuracy                           0.69       300
    macro avg       0.72      0.69      0.68       300
 weighted avg       0.72      0.69      0.68       300
","[[132  18]
 [ 74  76]]",TOXICITY: 120; SPAM: 7; PROFANITY: 5
../data/labeled_data_small_6556.csv,0.54,0.6933333333333334,0.7197413618912911,0.6933333333333334,0.6838343108504399,0.6846065352378367,"               precision    recall  f1-score   support

    Offensive       0.64      0.87      0.74       150
Non-Offensive       0.80      0.52      0.63       150

     accuracy                           0.69       300
    macro avg       0.72      0.69      0.68       300
 weighted avg       0.72      0.69      0.68       300
","[[130  20]
 [ 72  78]]",TOXICITY: 119; SPAM: 7; PROFANITY: 4
../data/labeled_data_small_6556.csv,0.56,0.69,0.7106845399438175,0.69,0.6821997699080771,0.6828639046495482,"               precision    recall  f1-score   support

    Offensive       0.64      0.85      0.73       150
Non-Offensive       0.78      0.53      0.63       150

     accuracy                           0.69       300
    macro avg       0.71      0.69      0.68       300
 weighted avg       0.71      0.69      0.68       300
","[[127  23]
 [ 70  80]]",TOXICITY: 116; SPAM: 7; PROFANITY: 3; INSULT: 1
../data/labeled_data_small_6556.csv,0.58,0.6966666666666667,0.709407978798921,0.6966666666666667,0.691981360923379,0.6922670463759799,"               precision    recall  f1-score   support

    Offensive       0.66      0.82      0.73       150
Non-Offensive       0.76      0.57      0.65       150

     accuracy                           0.70       300
    macro avg       0.71      0.70      0.69       300
 weighted avg       0.71      0.70      0.69       300
","[[123  27]
 [ 64  86]]",TOXICITY: 110; SPAM: 7; INSULT: 1; PROFANITY: 5
../data/labeled_data_small_6556.csv,0.61,0.7133333333333334,0.7210351814330448,0.7133333333333334,0.7108142037302726,0.7108396413846143,"               precision    recall  f1-score   support

    Offensive       0.68      0.81      0.74       150
Non-Offensive       0.76      0.62      0.68       150

     accuracy                           0.71       300
    macro avg       0.72      0.71      0.71       300
 weighted avg       0.72      0.71      0.71       300
","[[121  29]
 [ 57  93]]",TOXICITY: 106; SPAM: 9; INSULT: 1; PROFANITY: 5
../data/labeled_data_small_8080.csv,0.5,0.7433333333333333,0.7954508661162377,0.7433333333333333,0.7314921365554277,0.7308502124322552,"               precision    recall  f1-score   support

    Offensive       0.67      0.95      0.79       150
Non-Offensive       0.92      0.53      0.68       150

     accuracy                           0.74       300
    macro avg       0.80      0.74      0.73       300
 weighted avg       0.80      0.74      0.73       300
","[[143   7]
 [ 70  80]]",PROFANITY: 117; TOXICITY: 23; SPAM: 3
../data/labeled_data_small_8080.csv,0.52,0.7433333333333333,0.7780458077294196,0.7433333333333333,0.735064398848505,0.7345169030768763,"               precision    recall  f1-score   support

    Offensive       0.68      0.92      0.78       150
Non-Offensive       0.88      0.57      0.69       150

     accuracy                           0.74       300
    macro avg       0.78      0.74      0.74       300
 weighted avg       0.78      0.74      0.74       300
","[[138  12]
 [ 65  85]]",PROFANITY: 112; SPAM: 4; TOXICITY: 22
../data/labeled_data_small_8080.csv,0.54,0.7533333333333333,0.7822341057635176,0.7533333333333333,0.7468527640941435,0.7461495619390357,"               precision    recall  f1-score   support

    Offensive       0.69      0.91      0.79       150
Non-Offensive       0.87      0.59      0.71       150

     accuracy                           0.75       300
    macro avg       0.78      0.75      0.75       300
 weighted avg       0.78      0.75      0.75       300
","[[137  13]
 [ 61  89]]",PROFANITY: 110; SPAM: 5; TOXICITY: 22
../data/labeled_data_small_8080.csv,0.56,0.7533333333333333,0.7796310832025117,0.7533333333333333,0.7473942924764462,0.7467379511192326,"               precision    recall  f1-score   support

    Offensive       0.69      0.91      0.79       150
Non-Offensive       0.87      0.60      0.71       150

     accuracy                           0.75       300
    macro avg       0.78      0.75      0.75       300
 weighted avg       0.78      0.75      0.75       300
","[[136  14]
 [ 60  90]]",PROFANITY: 106; SPAM: 6; TOXICITY: 24
../data/labeled_data_small_8080.csv,0.58,0.7333333333333333,0.7493351063829787,0.7333333333333333,0.728985049008537,0.7287864313009752,"               precision    recall  f1-score   support

    Offensive       0.69      0.86      0.76       150
Non-Offensive       0.81      0.61      0.69       150

     accuracy                           0.73       300
    macro avg       0.75      0.73      0.73       300
 weighted avg       0.75      0.73      0.73       300
","[[129  21]
 [ 59  91]]",PROFANITY: 100; SPAM: 6; TOXICITY: 23
../data/labeled_data_small_8080.csv,0.61,0.7266666666666667,0.7336876832844575,0.7266666666666667,0.7245980923380055,0.7245329498205845,"               precision    recall  f1-score   support

    Offensive       0.69      0.81      0.75       150
Non-Offensive       0.77      0.64      0.70       150

     accuracy                           0.73       300
    macro avg       0.73      0.73      0.72       300
 weighted avg       0.73      0.73      0.72       300
","[[122  28]
 [ 54  96]]",PROFANITY: 96; SPAM: 7; TOXICITY: 19
../data/labeled_data_small_42.csv,0.48,0.7266666666666667,0.7576278035966862,0.7266666666666667,0.7182001466275659,0.7181008796061422,"               precision    recall  f1-score   support

    Offensive       0.67      0.90      0.77       150
Non-Offensive       0.85      0.55      0.67       150

     accuracy                           0.73       300
    macro avg       0.76      0.73      0.72       300
 weighted avg       0.76      0.73      0.72       300
","[[135  15]
 [ 67  83]]",PROFANITY: 113; INSULT: 2; TOXICITY: 17; SPAM: 3
